入場方法,所要時間,通常営業時間開始,通常営業時間区切り,通常営業時間終了,本日営業時間開始,本日営業時間区切り,本日営業時間終了,予約備考,ゾーン,パビリオン名称,予備
"位置情報(Location)","パビリオン・施設名称(Name of Pavilion)",入場方法(Reservation required or not for entering),"ゾーン(Zone)","所要時間(Duration)(min.)","通常時間(OpeningHours)","本日の営業時間(Today's Opening Hours)","変更理由・備考(Notes)",,,,
,,"要予約(Reservation required)",,"予約不要(No reservation required)","その他(Remarks)",,,,,,
,,"事前予約(AdvanceReservation)",,"当日登録(On-the-dayReservation)","先着順(First come,First served)","自由入場(FreeAdmission)",,,,,
S08,ベルギー Belgium,,,,〇,,,25,9:00 ~ 21:00,通常通り(As usual),
S07,欧州連合 EU,,,,,〇,,15,9:00 ~ 21:00,"9:00~13:00, 14:30~21:00","関係者のみによる式典を予定(Due to the openingceremony)"
S06,"バルト(ラトビア&リトアニア)Baltic Latvia and Lithuania",,"セービングゾーン(リング内)Saving LivesZone",,,〇,,,9:00 ~ 21:00,"9:00 ~ 10:30, 11:30 ~ 21:00","関係者のみによる式典を予定(Due to the openingceremony)"
アルジェリア Algeria,,,S05,,〇,,20,9:00 ~ 21:00,通常通り(As usual),,
カンボジア Cambodia,,,S04,〇,,,,9:00 ~ 21:00,9:00 ~ 21:00,,
チュニジア Tunisia,,,S03,〇,,,,9:00 ~ 21:00,通常通り(As usual),,
コモンズ Commons-C,,,S01,,〇,,ー,9:00 ~ 21:00,通常通り(As usual),,
"イタリア・バチカンItaly and The Holy See",〇,〇,S09,,,,30,9:00 ~ 21:00,18:00 ~ 21:00,"関係者のみによる式典を予定(Due to the openingceremony)",
シンガポール Singapore,,,S11,,〇,,45,9:00 ~ 21:00,通常通り(As usual),,
ブルガリア Bulgaria,,,S12,〇,,,15,9:00 ~ 21:00,通常通り(As usual),,
オランダ Netherlands,〇,〇,S13,,,,25,9:00 ~ 21:00,10:00 ~ 21:00,"関係者のみによる式典を予定(Due to the openingceremony)",
Commons コモンズ-D,,,S14,,〇,,ー,9:00 ~ 21:00,通常通り(As usual),,
オマーン Oman,,,S15,〇,,,15,9:00 ~ 21:00,通常通り(As usual),,
,,,,,,,,,,,
ハンガリー Hungary,〇,〇,S16,〇,,,15,9:00 ~ 21:00,"11:00 ~ 21:00レストランは18:00 ~ 21:00","関係者のみによる式典を予定(Due to the openingceremony)",
ルーマニア Romania,,,S21,〇,〇,,30,9:00 ~ 21:00,9:00 ~ 16:30,"関係者のみによる式典を予定(Due to the openingceremony)",
英国 United Kingdom,〇,,S22,〇,,,20,9:00 ~ 21:00,通常通り(As usual),,
アンゴラ Angola,,,S23,,,,,9:00 ~ 21:00,通常通り(As usual),,
ポーランド Poland,〇,〇,S20,,〇,,40,9:30 ~ 21:00,終日休館(All day closed),"関係者のみによる式典を予定(Due to the openingceremony)",
,,,入場方法(Reservation required or not for entering),,,,,,,,
,,,要予約 予約不要,,,,,,,,
,,,所要時間 通常時間,,,,,,,,
ゾーン,位置情報,パビリオン・施設名称,(Reservation required) (No reservation required),本日の営業時間,変更理由・備考,,,,,,
,,,(Duration) (Opening,,,,,,,,
(Zone),(Location),(Name of Pavilion),事前 当日 自由 その他 (min.) Hours),(Today's Opening Hours),(Notes),,,,,,
,,,先着順,,,,,,,,
,,,予約 登録 入場 (Remarks),,,,,,,,
,,,"(First come,",,,,,,,,
,,,(Advance (On-the-day (Free,,,,,,,,
,,,First served),,,,,,,,
,,,Reservation) Reservation) Admission),,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P01,アイルランド Ireland,〇 30 9:00 ~ 21:00,13:00~21:00,,,,,,,
,,,,,ceremony),,,,,,
,P02,マレーシア Malaysia,〇 〇 19 10:00 ~ 21:00,通常通り(As usual),,,,,,,
,P03,コモンズ Commons-A,〇 ー 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,P09,フィリピン Philippines,〇 30 9:00 ~ 21:00,10:00 ~ 21:00,,,,,,,
,P08,モザンビーク Mozambique,〇 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,空飛ぶクルマステーション,,,,,,,,,
,P07,,〇 〇 40 9:20 ~ 21:00,通常通り(As usual),,,,,,,
,,Advanced Air Mobility Station,,,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P05,ぺルー Peru,〇 15 9:00 ~ 21:00,"9:00 ~ 12:00, 16:00 ~ 21:00",,,,,,,
,,,,,ceremony),,,,,,
,P04,ヨルダン Jordan,9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,,5/1~事前予約受付ス,,,,,,,,
,,アメリカ合衆国,タート,,,,,,,,
,P11,,〇 25 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,United States of America,6/1より予約システム導,,,,,,,,
,,,入予定,,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P12,フランス France,〇 25 10:00 ~ 21:00,通常通り(As usual),,,,,,,
,,,,,ceremony),,,,,,
,P16,ミャクミャクハウス,〇 10:00~19:00,通常通り(As usual),,,,,,,
,,ロボット&モビリティステーション,,,,,,,,,
,P14,,〇 30 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,Robot & Mobility Station,,,,,,,,,
,P17,カタール Qatar,〇 25 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,アラブ首長国連邦,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P18,,〇 〇 〇 15 9:00 ~ 21:00,13:00 ~ 21:00,,,,,,,
,,United Arab Emirates,,,ceremony),,,,,,
,P19,カナダ Canada,〇 〇 〇 15 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,P20,ポルトガル Portugal,〇 〇 〇 14 9:15 ~ 20:45,通常通り(As usual),,,,,,,
エンパワー,,,,,,,,,,,
リング,,,,,,,,,,,
ゾーン,P21,コロンビア Colombia,〇 〇 20 9:00 ~ 21:00,通常通り(As usual),,,,,,,
(リング内),,,,,,,,,,,
Empowering,P22,スイス Switzerland,〇 20 9:00 ~ 21:00,10:30 ~ 21:00,関係者のみによる式典を予定(Due to the opening,,,,,,
Lives Zone,,,,,ceremony),,,,,,
,,,,"9:00 ~ 10:00,",関係者のみによる式典を予定(Due to the opening,,,,,,
,P23,オーストリア Austria,〇 30 9:00 ~ 21:00,,,,,,,,
,,,,11:30 ~ 21:00,ceremony),,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P26,ブラジル Brazil,〇 〇 20 9:00 ~ 21:00,12:00 ~ 21:00,,,,,,,
,,,,,ceremony),,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P27,クウェート Kuwait,〇 〇 〇 〇 30 9:00 ~ 21:00,終日休館(All day closed),,,,,,,
,,,,,ceremony),,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P28,中華人民共和国 China,〇 30 9:00 ~ 21:00,13:00~21:00,,,,,,,
,,,,,ceremony),,,,,,
,P34,バーレーン Bahrain,〇 20 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P35,トルクメニスタン Turkmenistan,〇 20 10:00 ~ 21:00,終日休館(All day closed),,,,,,,
,,,,,ceremony),,,,,,
,,北欧館 Nordic,,,,,,,,,
,,(アイスランド、スウェーデン、デンマー,,,,,,,,,
,P36,ク、ノルウェー、フィンランド),〇 20 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,"Iceland, Sweden, Denmark,",,,,,,,,,
,,"Norway, Finland",,,,,,,,,
,P37,マルタ Malta,〇 20 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,P38,チェコ Czechia,〇 30 9:30 ~ 20:30,14:30 ~ 21:00,,,,,,,
,,,,,ceremony),,,,,,
,,パビリオン/イベント当日登録,,,,,,,,,
,P32,,〇 ー 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,・免税センター,,,,,,,,,
,,国際赤十字・赤新月運動,,,,,,,,,
,P31,International Red Cross and,〇 〇 30 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,Red Crescent Movement,,,,,,,,,
,P30,国連 The United Nations,〇 〇 〇 20 9:30 ~ 21:00,通常通り(As usual),,,,,,,
,,国際機関館,,,,,,,,,
,P29,International Organization,〇 ー 9:00 ~ 21:00,通常通り(As usual),,,,,,,
,,Pavilion,,,,,,,,,
,,,入場方法(Reservation required or not for entering),,,,,,,,
,,,要予約 予約不要,,,,,,,,
,,,所要時間 通常時間,,,,,,,,
ゾーン,位置情報,パビリオン・施設名称,(Reservation required) (No reservation required) 本日の営業時間,,変更理由・備考,,,,,,
,,,(Duration) (Opening,,,,,,,,
(Zone),(Location),(Name of Pavilion),事前 当日 自由 その他 (min.) Hours)(Today's Opening Hours),,(Notes),,,,,,
,,,先着順,,,,,,,,
,,,予約 登録 入場 (Remarks),,,,,,,,
,,,"(First come,",,,,,,,,
,,,(Advance (On-the-day (Free,,,,,,,,
,,,First served),,,,,,,,
,,,Reservation) Reservation) Admission),,,,,,,,
,,Better Co-Being,,,,,,,,,
,X01,,〇 〇 当日整理券 45 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,(宮田 裕章),,,,,,,,,
,X02,いのちの未来(石黒 浩),〇 〇 キャンセル待ち 60 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,いのちの遊び場 クラゲ館,*一部自由入場エリア,,,,,,,,
,X03,,〇 〇 〇* 37 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,(中島 さち子),あり,,,,,,,,
,,,当日整理券,,,,,,,,
シグネチャー,,,,,,,,,,,
,X04,null2(落合 陽一),〇 〇 〇* ※一部自由入場エリア 30 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
ゾーン,,,,,,,,,,,
,,,あり,,,,,,,,
Signature,,,,,,,,,,,
Zone,X05,いのち動的平衡館(福岡 伸一),〇 〇 キャンセル待ち 15 9:45 ~ 21:00 通常通り(As usual),,,,,,,,
,,,*一部自由入場エリア,,,,,,,,
,X06,いのちめぐる冒険(河森 正治),〇 〇 〇* 50 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,,あり,,,,,,,,
,X07,EARTH MART(小山 薫堂),〇 当日整理券 40 10:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,Dialogue Theater,*一部自由入場エリア,,,,,,,,
,X08,,〇 〇 〇* 55 9:30 ~ 20:55 通常通り(As usual),,,,,,,,
,,- いのちのあかし -(河瀬 直美),あり,,,,,,,,
,W01,テーマウィークスタジオ,,,,,,,,,
,W02,TECH WORLD,〇 〇 〇 30 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,ガスパビリオン,*一部自由入場エリア,,,,,,,,
,W03,,〇 〇 〇* 40 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,おばけワンダーランド,あり,,,,,,,,
,,飯田グループ×大阪公立大学,,,,,,,,,
,W04,,〇 〇 〇 45 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
西ゲート,,共同出展館,,,,,,,,,
ゾーン,,ORA外食パビリオン,,,,,,,,,
,W05,,〇 20 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
West Gate,,「宴~UTAGE~」,,,,,,,,,
Zone,,,,,,,,,,,
,W06,BLUE OCEAN DOME,〇 〇 〇 30 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,GUNDAM NEXT FUTURE,,,,,,,,,
,W07,,〇 〇 50 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,PAVILION,,,,,,,,,
,W09,PASONA NATUREVERSE,〇 〇 〇 30 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,W10,よしもと waraii myraii館,〇 30 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,E01,関西パビリオン KANSAI Pavilion,〇 〇 〇 60 9:15 ~ 21:00 通常通り(As usual),,,,,,,,
,,大阪ヘルスケアパビリオン,*一部自由入場エリア,,,,,,,,
,E02,,〇 〇 〇 〇* 60 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,Nest for Reborn,あり,,,,,,,,
,E03,NTT Pavilion,〇 〇 30 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,E05,三菱未来館 Mitsubishi,〇 〇 60 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
東ゲート,,,,,,,,,,,
ゾーン,,パナソニックグループパビリオン,,,,,,,,,
,E06,,〇 〇 60 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
East Gate,,「ノモの国」 Panasonic,,,,,,,,,
Zone,,,,,,,,,,,
,E07,住友館 Smitomo,〇 〇 65 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,E08,電力館 可能性のタマゴたち,〇 〇 45 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,ウーマンズ パビリオン in,,,,,,,,,
,E09,,〇 〇 30 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,collabortion with Cartier*,,,,,,,,,
,E10,日本館 Japan Pavilion,〇 40 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
,,フューチャーライフヴィレッジ,,,,,,,,,
,,(フューチャーライフエクスペリエンス&,入場制限あり、,,,,,,,,
,"L02,L03",,〇 60 10:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,「TEAM EXPOパビリオン」),当日整理券あり,,,,,,,,
フューチャライフ,,Future Life Village,,,,,,,,,
ゾーン,,,,,,,,,,,
,L05,未来の都市,〇 〇 〇 35 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
Future Life,,,,,,,,,,,
Zone,,モビリティエクスペリエンス,,,,,,,,,
,L04,,入館不可 30 9:00 ~ 18:00 通常通り(As usual),,,,,,,,
,,Mobility Experience,,,,,,,,,
,,ジュニアSDGsキャンプ,,,,,,,,,
,L07,,〇 15 9:00 ~ 20:30 通常通り(As usual),,,,,,,,
,,Junior SDGs Camp,,,,,,,,,
,,カーボンリサイクルファクトリー(RITE),10:00~17:00,,,,,,,,
通常通り(As usual)管理棟,,Carbon Recycle Factory,〇 〇 60 (毎週木曜日休,,,,,,,,
エリア,,(RITE),館),,,,,,,,
Managemen,,,,,,,,,,,
,,カーボンリサイクルファクトリー,,,,,,,,,
t Office,,,10:40~17:00,,,,,,,,
(大阪ガス)Area,,,〇 〇 80 (毎週木曜日休 通常通り(As usual),,,,,,,,
,,Carbon Recycle Factory,,,,,,,,,
,,,館),,,,,,,,
,,(OSAKA GAS),,,,,,,,,
営業店舗,,,,,,,,,,,
その他施設,,,,,,,,,,,
Food&Drink,,,,,,,,,,,
",Merchndise",,,,,,,,,,,
&Shop etc,,,,,,,,,,,
